Random Variable Y: the roll with most chances to win is the greatest
Combination	Occurrences		0	1	2

1-1:		1		1		0		0		1		
2-1:		3		1		0		0.0281		0.9719		
3-1:		3		1		0		0.1145		0.8855		
4-1:		3		1		0		0.2571		0.7429		
5-1:		3		1		0		0.4467		0.5533		
6-1:		3		1		0		0.6913		0.3087		
2-2:		4		2		0.0281		0.2849		0.687		
3-2:		9		2		0.0832		0.2497		0.6671		
3-3:		7		3		0.1097		0.4488		0.4415		
4-2:		9		2		0.1436		0.2704		0.586		
5-2:		9		2		0.1933		0.3638		0.4429		
4-3:		15		3		0.2293		0.3642		0.4065		
4-4:		10		4		0.2482		0.5104		0.2414		
6-2:		9		2		0.2536		0.4998		0.2466		
5-3:		15		3		0.3266		0.3346		0.3388		
5-4:		21		4		0.4274		0.3529		0.2197		
5-5:		13		5		0.4411		0.4497		0.1092		
6-3:		15		3		0.4475		0.356		0.1965		
6-4:		21		4		0.5753		0.285		0.1397		
6-5:		27		5		0.6741		0.247		0.0789		
6-6:		16		6		0.6935		0.2791		0.0274		
